year,unit_impacted,ib
2020,Finanzas Corporativas,584422.9128487695
2020,Gestión de Activos,16142571.776096327
2020,Mercado de Capitales,12507260.045107162
2020,Negocios de Confianza,31318730.842266858
2021,Finanzas Corporativas,450764.5915846752
2021,Gestión de Activos,15016023.847479668
2021,Mercado de Capitales,13611463.536637971
2021,Negocios de Confianza,30733184.312595755
2022,Finanzas Corporativas,634129.6922577146
2022,Gestión de Activos,9503915.866746517
2022,Mercado de Capitales,8280094.187472248
2022,Negocios de Confianza,24085215.545459688
2023,Finanzas Corporativas,784530.4755117492
2023,Gestión de Activos,11282165.14569188
2023,Mercado de Capitales,9412011.51520948
2023,Negocios de Confianza,27453224.036217295
2024,Finanzas Corporativas,825361.5298319662
2024,Gestión de Activos,13846637.653710494
2024,Mercado de Capitales,11576249.646722017
2024,Negocios de Confianza,22698074.72679061
